,player,pos,team,opp_home,opp,game,week,day,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fmb,team_win,team_score,opp_score
273,Tim Patrick,WR,DEN,0.0,LVR,6,6,Sun,6,3,42,14.0,1,50.00%,7.0,13.2,0,0,0,0,0,0,0,0,0,0,24,34
274,Nelson Agholor,WR,NWE,0.0,NYJ,7,7,Sun,5,2,51,25.5,1,40.00%,10.2,13.1,0,0,0,0,0,0,0,0,0,1,54,13
275,Ja'Marr Chase,WR,CIN,1.0,NYJ,8,8,Sun,9,3,32,10.67,1,33.30%,3.56,13.1,0,0,0,0,0,1,9,0,0,0,31,34
276,Elijah Moore,WR,NYJ,0.0,CIN,7,8,Sun,6,6,67,11.17,0,100.00%,11.17,13.1,0,0,0,0,0,1,4,0,0,1,34,31
277,Emmanuel Sanders,WR,BUF,0.0,HOU,4,4,Sun,6,5,74,14.8,0,83.30%,12.33,13.1,0,0,0,0,0,1,7,0,0,1,40,0
278,Hunter Renfrow,WR,LVR,0.0,BAL,1,1,Mon,9,6,70,11.67,0,66.70%,7.78,13.0,0,0,0,0,0,0,0,0,0,1,33,27
279,Amon-Ra St. Brown,WR,DET,1.0,CHI,4,4,Sun,8,6,70,11.67,0,75.00%,8.75,13.0,0,0,0,0,0,0,0,0,0,0,14,24
280,Davante Adams,WR,GNB,1.0,CHI,6,6,Sun,5,4,89,22.25,0,80.00%,17.8,12.9,0,0,0,0,0,0,0,0,0,1,24,14
281,Odell Beckham Jr.,WR,CLE,0.0,ARI,6,6,Sun,8,5,79,15.8,0,62.50%,9.88,12.9,0,0,0,0,0,0,0,0,0,0,14,37
282,Gabriel Davis,WR,BUF,0.0,MIA,7,8,Sun,5,4,29,7.25,1,80.00%,5.8,12.9,0,0,0,0,0,0,0,0,0,1,26,11
283,Jerry Jeudy,WR,DEN,1.0,DAL,9,9,Sun,8,6,69,11.5,0,75.00%,8.63,12.9,0,0,0,0,0,0,0,0,0,1,30,16
284,Laviska Shenault Jr.,WR,JAX,1.0,HOU,1,1,Sun,10,7,50,7.14,0,70.00%,5.0,12.9,0,0,0,0,0,1,9,0,0,0,21,37
285,Jamal Agnew,WR,JAX,0.0,MIA,6,6,Sun,6,5,78,15.6,0,83.30%,13.0,12.8,0,0,0,0,0,0,0,0,0,1,23,20
286,Mike Evans,WR,TAM,1.0,NOR,8,8,Sun,4,2,48,24.0,1,50.00%,12.0,12.8,0,0,0,0,0,0,0,0,0,0,27,36
287,Kalif Raymond,WR,DET,0.0,BAL,3,3,Sun,10,6,68,11.33,0,60.00%,6.8,12.8,0,0,0,0,0,0,0,0,0,0,17,19
