,player,pos,team,opp_home,opp,game,week,day,rush_att,rush_yds,rush_yda,rush_td,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,fmb,team_win,team_score,opp_score
232,Ty'Son Williams,RB,BAL,0.0,KAN,2,2,Sun,13,77,5.92,0,2,2,16,8.0,0,100.00%,8.0,11.3,0,0,0,0,0,1,1,36,35
233,Austin Ekeler,RB,LAC,1.0,PHI,8,9,Sun,17,59,3.47,0,3,3,23,7.67,0,100.00%,7.67,11.2,0,0,0,0,0,0,1,27,24
234,Melvin Gordon,RB,DEN,1.0,CLE,7,7,Thu,8,18,2.25,0,3,2,14,7.0,1,66.70%,4.67,11.2,0,0,0,0,0,0,0,14,17
235,Brandon Bolden,RB,NWE,0.0,TAM,4,4,Sun,1,0,0.0,0,6,6,51,8.5,0,100.00%,8.5,11.1,0,0,0,0,0,0,0,17,19
236,Mike Davis,RB,ATL,1.0,NYG,3,3,Sun,12,50,4.17,0,4,4,20,5.0,0,100.00%,5.0,11.0,0,0,0,0,0,0,1,17,14
237,Devin Singletary,RB,BUF,0.0,PIT,1,1,Sun,11,72,6.55,0,5,3,8,2.67,0,60.00%,1.6,11.0,0,0,0,0,0,2,0,16,23
238,Devontae Booker,RB,NYG,0.0,LAR,6,6,Sun,12,41,3.42,0,4,4,28,7.0,0,100.00%,7.0,10.9,0,0,0,0,0,0,0,11,38
239,Leonard Fournette,RB,TAM,0.0,DAL,1,1,Thu,9,32,3.56,0,7,5,27,5.4,0,71.40%,3.86,10.9,0,0,0,0,0,0,1,31,29
240,Chuba Hubbard,RB,CAR,1.0,HOU,3,3,Thu,11,52,4.73,0,5,3,27,9.0,0,60.00%,5.4,10.9,0,0,0,0,0,0,1,24,9
241,Sony Michel,RB,LAR,0.0,TAM,3,3,Sun,20,67,3.35,0,4,3,12,4.0,0,75.00%,3.0,10.9,0,0,0,0,0,0,1,34,24
242,David Montgomery,RB,CHI,0.0,CIN,2,2,Sun,20,61,3.05,0,4,3,18,6.0,0,75.00%,4.5,10.9,0,0,0,0,0,0,1,20,17
243,Le'Veon Bell,RB,BAL,0.0,MIN,8,9,Sun,11,48,4.36,1,0,0,0,0.0,0,0.00%,0.0,10.8,0,0,0,0,0,0,1,34,31
244,Michael Carter,RB,NYJ,0.0,NWE,2,2,Sun,11,59,5.36,0,3,2,29,14.5,0,66.70%,9.67,10.8,0,0,0,0,0,0,0,6,25
245,Derrick Gore,RB,KAN,0.0,NYG,8,8,Mon,11,48,4.36,1,0,0,0,0.0,0,0.00%,0.0,10.8,0,0,0,0,0,0,1,20,17
246,Damien Harris,RB,NWE,1.0,HOU,5,5,Sun,14,58,4.14,1,0,0,0,0.0,0,0.00%,0.0,10.8,0,0,0,0,0,1,1,25,22
247,Kareem Hunt,RB,CLE,0.0,ARI,6,6,Sun,14,66,4.71,0,3,3,12,4.0,0,100.00%,4.0,10.8,0,0,0,0,0,0,0,14,37
248,Giovani Bernard,RB,TAM,1.0,NOR,8,8,Sun,2,30,15.0,0,1,1,7,7.0,1,100.00%,7.0,10.7,0,0,0,0,0,0,0,27,36
249,James Conner,RB,ARI,0.0,SFO,5,5,Sun,10,29,2.9,1,1,1,8,8.0,0,100.00%,8.0,10.7,0,0,0,0,0,0,1,17,10
250,AJ Dillon,RB,GNB,0.0,PIT,4,4,Sun,15,81,5.4,0,1,1,16,16.0,0,100.00%,16.0,10.7,0,0,0,0,0,0,1,27,17
251,Derrick Henry,RB,TEN,0.0,ARI,1,1,Sun,17,58,3.41,0,4,3,19,6.33,0,75.00%,4.75,10.7,0,0,0,0,0,0,0,13,38
252,Josh Jacobs,RB,LVR,1.0,LAC,4,4,Mon,13,40,3.08,0,5,5,17,3.4,0,100.00%,3.4,10.7,0,0,0,0,0,0,0,14,28
253,Darrel Williams,RB,KAN,0.0,GNB,9,9,Sun,19,70,3.68,0,4,3,7,2.33,0,75.00%,1.75,10.7,0,0,0,0,0,0,1,13,7
254,Mike Davis,RB,ATL,0.0,WAS,4,4,Sun,13,14,1.08,0,2,2,12,6.0,1,100.00%,6.0,10.6,0,0,0,0,0,0,0,30,34
255,Sony Michel,RB,LAR,0.0,TEN,9,9,Sun,7,20,2.86,0,3,2,6,3.0,1,66.70%,2.0,10.6,0,0,0,0,0,0,0,16,28
256,Kenyan Drake,RB,LVR,1.0,PIT,2,2,Sun,7,9,1.29,0,6,5,46,9.2,0,83.30%,7.67,10.5,0,0,0,0,0,0,1,26,17
257,Joe Mixon,RB,CIN,0.0,GNB,5,5,Sun,10,33,3.3,1,1,1,2,2.0,0,100.00%,2.0,10.5,0,0,0,0,0,0,0,22,25
258,Michael Carter,RB,NYJ,0.0,TEN,4,4,Sun,13,38,2.92,1,3,1,-4,-4.0,0,33.30%,-1.33,10.4,0,0,0,0,0,0,1,27,24
259,Myles Gaskin,RB,MIA,1.0,LVR,3,3,Sun,13,65,5.0,0,6,3,9,3.0,0,50.00%,1.5,10.4,0,0,0,0,0,0,0,28,31
260,Joe Mixon,RB,CIN,1.0,PIT,3,3,Sun,18,90,5.0,0,1,1,4,4.0,0,100.00%,4.0,10.4,0,0,0,0,0,0,1,24,10
261,Melvin Gordon,RB,DEN,0.0,LVR,6,6,Sun,10,50,5.0,0,3,3,23,7.67,0,100.00%,7.67,10.3,0,0,0,0,0,0,0,24,34
