,player,pos,team,opp_home,opp,game,week,day,rec_tgt,rec,rec_yds,rec_ydr,rec_td,rec_pct,rec_ydtgt,dk_pt,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,fmb,team_win,team_score,opp_score
255,Charlie Woerner,TE,SFO,0.0,IND,6,7,Sun,2,2,30,15.0,0,100.00%,15.0,5.0,0,0,0,0,0,0,0,0,0,0,18,30
256,Dan Arnold,TE,JAX,1.0,CIN,4,4,Thu,2,2,29,14.5,0,100.00%,14.5,4.9,0,0,0,0,0,0,0,0,0,0,21,24
257,Cameron Brate,TE,TAM,1.0,NWE,4,4,Sun,6,2,29,14.5,0,33.30%,4.83,4.9,0,0,0,0,0,0,0,0,0,1,19,17
258,Will Dissly,TE,SEA,1.0,MIN,3,3,Sun,1,1,39,39.0,0,100.00%,39.0,4.9,0,0,0,0,0,0,0,0,0,0,17,30
259,Will Dissly,TE,SEA,0.0,LAR,5,5,Thu,4,2,29,14.5,0,50.00%,7.25,4.9,0,0,0,0,0,0,0,0,0,0,17,26
260,Anthony Firkser,TE,TEN,0.0,ARI,1,1,Sun,4,3,19,6.33,0,75.00%,4.75,4.9,0,0,0,0,0,0,0,0,0,0,13,38
261,Josh Oliver,TE,BAL,0.0,CIN,7,7,Sun,5,2,29,14.5,0,40.00%,5.8,4.9,0,0,0,0,0,0,0,0,0,0,17,41
262,Maxx Williams,TE,ARI,1.0,JAX,3,3,Sun,3,3,19,6.33,0,100.00%,6.33,4.9,0,0,0,0,0,0,0,0,0,1,31,19
263,Dallas Goedert,TE,PHI,1.0,CAR,5,5,Sun,3,2,28,14.0,0,66.70%,9.33,4.8,0,0,0,0,0,0,0,0,0,1,21,18
264,Adam Trautman,TE,NOR,0.0,GNB,1,1,Sun,6,3,18,6.0,0,50.00%,3.0,4.8,0,0,0,0,0,0,0,0,0,1,38,3
265,Tommy Tremble,TE,CAR,1.0,ATL,8,8,Sun,4,3,18,6.0,0,75.00%,4.5,4.8,0,0,0,0,0,0,0,0,0,1,19,13
266,Dan Arnold,TE,JAX,0.0,MIA,6,6,Sun,5,2,27,13.5,0,40.00%,5.4,4.7,0,0,0,0,0,0,0,0,0,1,23,20
267,Jared Cook,TE,LAC,1.0,KAN,3,3,Sun,3,2,27,13.5,0,66.70%,9.0,4.7,0,0,0,0,0,0,0,0,0,1,30,24
268,Durham Smythe,TE,MIA,0.0,HOU,9,9,Sun,2,2,27,13.5,0,100.00%,13.5,4.7,0,0,0,0,0,0,0,0,0,1,17,9
269,Harrison Bryant,TE,CLE,1.0,CIN,9,9,Sun,2,2,26,13.0,0,100.00%,13.0,4.6,0,0,0,0,0,0,0,0,0,1,41,16
270,Tyler Conklin,TE,MIN,0.0,DET,5,5,Sun,3,2,25,12.5,0,66.70%,8.33,4.5,0,0,0,0,0,0,0,0,0,1,19,17
271,Jared Cook,TE,LAC,0.0,NWE,7,8,Sun,5,2,25,12.5,0,40.00%,5.0,4.5,0,0,0,0,0,0,0,0,0,0,24,27
272,Ross Dwelley,TE,SFO,1.0,ARI,5,5,Sun,2,2,25,12.5,0,100.00%,12.5,4.5,0,0,0,0,0,0,0,0,0,0,10,17
273,Kyle Rudolph,TE,NYG,1.0,WAS,2,2,Thu,2,2,25,12.5,0,100.00%,12.5,4.5,0,0,0,0,0,0,0,0,0,0,29,30
274,Ian Thomas,TE,CAR,1.0,DAL,4,4,Sun,3,3,15,5.0,0,100.00%,5.0,4.5,0,0,0,0,0,0,0,0,0,0,28,36
275,Stephen Anderson,TE,LAC,0.0,LVR,4,4,Mon,1,1,34,34.0,0,100.00%,34.0,4.4,0,0,0,0,0,0,0,0,0,1,28,14
276,Dallas Goedert,TE,PHI,0.0,SFO,2,2,Sun,2,2,24,12.0,0,100.00%,12.0,4.4,0,0,0,0,0,0,0,0,0,0,11,17
277,MyCole Pruitt,TE,TEN,1.0,NYJ,4,4,Sun,1,1,14,14.0,0,100.00%,14.0,4.4,0,0,0,0,0,0,0,0,0,0,24,27
278,Kyle Rudolph,TE,NYG,1.0,NOR,4,4,Sun,3,2,24,12.0,0,66.70%,8.0,4.4,0,0,0,0,0,0,0,0,0,1,27,21
279,Kaden Smith,TE,NYG,1.0,WAS,2,2,Thu,2,2,24,12.0,0,100.00%,12.0,4.4,0,0,0,0,0,0,0,0,0,0,29,30
280,Dan Arnold,TE,CAR,1.0,HOU,3,3,Thu,4,2,23,11.5,0,50.00%,5.75,4.3,0,0,0,0,0,0,0,0,0,1,24,9
281,Antony Auclair,TE,HOU,1.0,MIA,9,9,Sun,2,2,23,11.5,0,100.00%,11.5,4.3,0,0,0,0,0,0,0,0,0,0,9,17
282,Hunter Henry,TE,NWE,1.0,LAC,8,8,Sun,3,1,33,33.0,0,33.30%,11.0,4.3,0,0,0,0,0,0,0,0,0,1,27,24
283,Durham Smythe,TE,MIA,1.0,TAM,5,5,Sun,3,2,23,11.5,0,66.70%,7.67,4.3,0,0,0,0,0,0,0,0,0,0,17,45
284,Pharaoh Brown,TE,HOU,0.0,NWE,5,5,Sun,4,2,22,11.0,0,50.00%,5.5,4.2,0,0,0,0,0,0,0,0,0,0,22,25
285,T.J. Hockenson,TE,DET,1.0,MIN,5,5,Sun,3,2,22,11.0,0,66.70%,7.33,4.2,0,0,0,0,0,0,0,0,0,0,17,19
286,Cole Kmet,TE,CHI,1.0,LVR,5,5,Sun,4,2,22,11.0,0,50.00%,5.5,4.2,0,0,0,0,0,0,0,0,0,1,20,9
287,MyCole Pruitt,TE,TEN,1.0,IND,8,8,Sun,2,2,22,11.0,0,100.00%,11.0,4.2,0,0,0,0,0,0,0,0,0,1,34,31
288,Pharaoh Brown,TE,HOU,1.0,ARI,7,7,Sun,3,3,11,3.67,0,100.00%,3.67,4.1,0,0,0,0,0,0,0,0,0,0,5,31
289,Josiah Deguara,TE,GNB,1.0,ARI,8,8,Thu,2,2,20,10.0,0,100.00%,10.0,4.0,0,0,0,0,0,0,0,0,0,1,24,21
290,Jared Cook,TE,LAC,0.0,CLE,5,5,Sun,3,1,29,29.0,0,33.30%,9.67,3.9,0,0,0,0,0,0,0,0,0,1,47,42
